en,ru
19:57,21:07
Will you get it for me?,Вы возьмете для меня?
Remember?,Помнишь?
I had a sharp pain in my chest yesterday.,У меня была острая боль в груди вчера.
I've explained this.,Я вам уже объяснил.
The time now is 11:55 AM .,The time now is 03:28 AM .
This place is perfect.,Эта квартира превосходна.
"God, you two are smug.","Боже, какие вы самодовольные."
The girl wanted out.,Она просто сбежала.
-Are you crazy?,Ц— ума сошли?
Tuvok...,Тувок...
This is weirding me out.,"Пошли, пацаны, мне здесь слишком ""оригинально""."
- How you doing?,- Как дела?
- Thank you. - (WAILS HYSTERICALLY),Спасибо за понимание.
I go to free my heart of him.,"Я ухожу, чтобы моё сердце забыло его."
Damn.,- Черт.
"No, no, stay in your seats.",Нет-нет-нет. Сидите!
But why not just bring him to the Bleeding Tree?,Но почему бы просто не отвести его к Кровоточащему дереву?
"It's okay, sweetie.","Bce xopoшo, милый."
Thank you very much.,Спасибо. Огромное вам спасибо.
I know who you are.,"Я знаю, кто тут у нас."
- When will I see you again?,- Когда я тебя увижу?
Fuck!,Блять!
"Well, you know what?","Что ж, знаешь что?"
Time to get up.,Пора вставать.
+16 ... +21 °C,+20 ... +24 °C
Look.,"Вот, взгляните."
What's that mean?,А это еще что?
What exactly are you scared of?,Чего именно ты боишься?
Not at all.,Вовсе нет.
I love my son.,Я люблю своего сына.
That's the last thing on my mind.,"Это - последнее, о чем я думаю."
- Jasmine.,Жасмином.
I was...,"Просто задумался, наверное."
Hurry up!,Шевелись!
I just won't.,Просто не буду участвовать.
15:12,2:28
Tomatoes may be classified into four commercial types:,"- ""ребристые"""
Doesn't matter.,"В понедельник. Неважно""."
Okay...,Знаете... Ладно...
"More importantly, can XDR-TB be controlled?",Проходят ли аналогичные локальные вспышки незамеченными в других местах?
No. That's not true.,"Нет, неправда."
I don't have to.,Мне и не нужно.
Burgers.,Котлетки!
- Good night.,- Доброй ночи.
You've heard the charges.,Ты слышал обвинения.
We've paid.,Мы заплатили.
Keep goin'!,Работаем!
10:16,6:11
They're terrible.,Они ужасны.
"""C.""","""К""."
Error reading XML file '%1' for input.,Невозможно открыть файл XML '% 1'.
"Hey, you see anything in there?","Эй, видишь кого-нибудь здесь?"
Anna Sandor.,Анна Сандор.
We're in total lockdown,"Никто не покидает помещение, пока мы всё не обыщем."
"Explosive detection systems, non-X-ray Conventional Section: p. 250, 6.A.9",b.
- Of course I'm sure.,"- Конечно, я уверен."
"Oh, great.",Замечательно.
- I'm the one leaving.,- Я уезжаю.
"Your doll, you named it Jeannette?","Та игрушка, ты назвал ее Жаннетт?"
Old Town will be left wide open.,Теперь Старый Город будет отдан на растерзание.
There's our little KAOS bakery.,"Москва. 21:00"" А вот и маленькая пекарня."
- I'm not eating that.,— Не буду я это есть.
(SIGHS),*вздох*
That's really good!,Просто отлично!
"- What is it, little pig?","- Как дела, мужик?"
And she could rock a hairnet.,И она могла сеточку для волос носить.
- Nice of you to come.,"- Хорошо, что вы пришли."
Signed at Canberra on 6 October 1993.,Подписан в Канберре 6 октября 1993 года.
I would never hurt anybody.,Я бы никогда никому не навредил.
- I'm sick of it.,- Меня уже от этого тошнит.
Rooms :3,3
- Okay.,— Хорошо.
I find it familiar.,Мне это знакомо.
Manhattan East Homicide to Central.,Убойный отдел восточного Манхеттена центральному.
Good call.,Отлично.
The security guard is also a stripper.,Охранник еще и стриптизер.
"- Wait, I'll call.","- Одну секунду, я с ним свяжусь."
He totally knew what this thing was worth.,Он точно знал истинную цену этой квитанции..
What does he want?,Чего он хочет?
"""Good to know""?","""Приятно слышать""!"
"Ok, if you hadn't flung open the door--",-Если бы ты не распахнула дверь.
"Hi, I'm Alexander.","Привет. Я Александр, режиссер."
"Wind: light breeze , southern, speed 4-11 km/h","Ветер: слабый , западный, скорость 3-6 м/сек"
Home,Начало
I didn't drop it.,А я его и не произносила.
"Come on, sit down.","Перестань, садись!"
There's something in there!,Там кто-то есть!
You've saved countless lives.,Ты спас бесчисленное множество жизней.
GRAND SHARM 5*,5.
Ecce homo.,Ecce homo.
You never will.,Ты никогда не изменишься.
12:17,08:55
. .,Наши люди.
Kill or be killed.,либо тебя.
You're the champion.,Молодец.
What's going on in there?,Что происходит?
And your wife.,Да пошел ты на хрен.
We will have our revenge.,Мы сумеем отомстить.
"Yeah, great idea, Rocket.","Да, отличная идея, Рокет."
Chapter Page,Глава Стр.
I'm home.,Я дома!
Think of it as an invisible leash.,Считайте это невидимым поводком.
Did you bring the glasses?,Ты принес очки?
- Hi.,- Привет.
Why would you think that?,-Почему ты так думаешь?
Get busy living or get busy dying.,Жить в суете... или умирать в суете.
You never know.,Ты никогда не узнаешь
I have a little problem with my MasterCard.,"У меня есть маленькая проблема с моей карточкой "" МаstеrCаrd""."
"Oh, he was so cute.","Ах, он был такой милый."
The time now is 06:53 PM .,The time now is 04:31 AM .
"You see the two dots prior to the letter, Gabriel?","Видишь две точки перед буквой, Габриэл?"
Your feelings were... clear to her?,Ваши чувства были... ясны ей?
"Who, where?",Как?
I'm a big girl.,Я уже большая девочка.
Excellent.,Правильно.
"It is currently Tue May 24, 2016 2:28 pm","It is currently Thu May 19, 2016 3:22 pm"
And you come out with stink like that poop!,А ты взял и сказал такую бяку!
"So, Jake, you working?","Джейк, так ты работаешь?"
"I don't wonder, Marty.","Я не задумывался, Марти."
The lady isn't sure.,Сеньора не поняла.
You know the truth.,Ты знаешь правду.
Bye!,Пока.
Subtitles by Oliver Sanderson,Перевод Vsasha
You're safe.,Ты в безопасности.
Who was this?,Так кто он?
Anyway...,В любом случае...
Not likely-- the entry was too small.,Не похоже - слишком маленькое отверстие. А почему вы спрашиваете?
"- No, no, no, no.","- Нет, нет, нет, нет"
Stay on it.,Не уступай.
"If you are looking for your husband, we do not...","Если вы ищете мужа, мы не..."
What... what happened?,Что... что случилось?
- Worrying comes with the territory.,¬олноватьс€ - это мой удел.
In favour:,Голосовали за:
I've kept his room just the way he left it.,"Я держала его комнату такой, как он её оставил."
"- Uh, okay.","-Ээ, хорошо."
Right?,"Брось, мужик."
Not quite.,Не совсем.
-You sure?,- Уверена?
- Goddammit!,Жми!
He wanted me to wear 'em tonight.,Он просил это надеть.
- That's up to you.,Решайте сами.
That went better than I expected.,"Все прошло лучше, чем мы ожидали."
What's with her all of a sudden?,Что это на неё нашло?
- Oh.,- Ох
I'm pissed as hell at you.,"- Я как чёрт, злюсь на тебя."
Total,Всего@ title: column Number of entries
Bring me Wilford Brimley's mustache.,Достань мне усы Уилфорда Бримли.
- I saw the news.,-Я видела новости
I bet.,Не сомневаюсь.
Your actions speak otherwise.,Твои действия говорят обратное.
I'm trying not to stick you.,Пытаюсь не уколоть вас.
"- Hey, Doc.","- Привет, Док."
+19 ... +21 °C,+18 ... +19 °C
For later.,Нужно думать о будущем.
I put that in the toy box.,Я положил ее в ящик с игрушками.
And you're very close.,И вы очень близки.
- Kip!,- Kип!
Post subject: What do you think about Half-Life 2?,Post subject:
It's on me.,Я сам.
Sheila...,Шейла...
What did I miss?,Что я пропустил?
Ariano di Puglia.,Ариано ди Пулиа.
But...,Но...
"Yours, Miss Monroe.","На вашей, мисс Монро."
So high school.,Детский сад.
"It is currently Mon May 23, 2016 2:33 pm","It is currently Wed May 18, 2016 8:55 pm"
Pork butt.,Свинины.
Fine.,"Да, хорошо."
- Right.,- Замечательно.
Hey!,Эй!
Mike!,Майк!
Since before we were married.,С тех пор как мы поженились.
Sorry.,Извини.
I can't believe we're talking about this.,Поверить не могу в происходящее.
Check the teddy bear. The teddy bear. Teddy bear knows.,"Медведь знает плюшевый, медведь в курсе!"
"She's right, Laurel.","Она права, Лорел."
Please choose an existing working folder.,Выберите существующую папку рабочей копии.
"- Oh, God!","- О,Боже!"
"You got a fucking temper, B.","У тебя крутой характер, брат."
picoliters,Файл: one of the two types of gradients available
"Isn't this your picture, Mummy?","Это твоя фотография, мама?"
- Only some...,- Только птицы...
MARIKO: She serves herself.,Она служит себе.
4.,226 c.
Where are the 3XK files?,Где файлы тройного убийцы?
"The, uh, the pig.",Свинья. - Овца.
Meet me there?,Встретимся там?
Pride?,Прайд?
This is my fault.,Это моя вина.
Wake the hell up!,"Очнись, чёрт тебя побери!"
Some people like to read more than just the classifieds.,Не все любят читать одни объявления.
"Thank you, Charles, that will be all.","Спасибо, Чарльз, на этом всё."
"Hello, I'm Temple.","Здравствуйте, меня зовут Темпл."
So what do we do now?,Что мы делаем дальше?
I thought...,Я думала...
_,ГОРЯЧИЙ ПАРЕНЬ!
You'll have to meet us there.,Тебе придется встретить нас там.
This is your chance to nail the line.,Вот шанс обозначить курс.
Reports on field visits,Доклады о поездках на места
"- Yes, there are.","- Да, определённо."
They won't kill you.,- Они не убьют вас!
"""His truth is marching on.""","Он правды держит шаг""."
"Well, I did not move anything, I just...","Вопрос куда? Я ничего не переставляла, я просто..."
Manaus,Манаус
I'm not going anywhere.,- Я никуда не уйду.
Then burn it down.,Потом поджигай.
Damn you!,Будьте вы прокляты!
Are you okay?,Ты в порядке?
National currency and unit of measure: colón,(Фактические расходы в текущих ценах)
Like who?,"Например, кто?"
I'm Nina.,Я Нина.
"Ee, mma.","Да, ммa."
I haven't had breakfast.,Даже не завтракал.
"You know, it's all-you-can-eat for $6.99.","Это всё, что я могу поесть за 7 баксов."
I wish I had said nothing.,Лучше бы я ничего не говорил.
"And, what, it just goes right in?",И что? Это просто отпечатывается в твоей голове?
The time now is 10:59 PM .,The time now is 06:25 PM .
Pineapple.,Ананас.
I was waiting.,Я ждал.
What's missing?,Что пропало?
This is Papa Tunde's blade.,Это клинок Папы Тунды
The time now is 10:53 AM .,The time now is 02:58 AM .
What kind of weapon is it?,Что это за оружие?
It's cold out here.,Тут холодно.
"Three tickets, one cabin, one way.","Три билета, на один рейс, в один конец."
Haven't you caused enough trouble?,Не надоело бедокурить?
- and you--,- а ты --
Man can do a lot with a knife.,Мужик ножом может многое сделать.
What king?,- Какого короля?
What are you talking about? !,Что вы несёте?
LINDA: What do we do?,Что мы делаем?
If you wanna get a finger bitten off.,"Если хочешь, чтобы она откусила тебе палец."
He's coming over.,Он идет.
- That's a change.,- Она изменилась.
"Here it is, Mako!",Мако взгляни!
"You can go to Siv later, after...","Потом можешь пойти к Сив, после..."
"- We got time. - No, we don't.",У нас еще есть время.
"My boy, one day you'll understand what public service entails.","Малыш, вы поймете, что влечет за собой государственная служба."
It's a conflict of interest.,Это конфликт интересов.
He's my ride.,Я на нем езжу.
Hey.,Привет.
- Good night.,- Спокойной ночи.
I can imagine how they fight now on Izyum Road.,"- Вooбражаю, какая сейчас драка на Изюмскoм шляхе идет!"
"Yeah, that's it.","Да, вот так."
"Uh, h-hi there sexy.",Ух... пр.. приветики секси.
Energy,энергетика
Nothing?,Совсем нечего?
You wanna do this?,Ну как?
We need to leave now.,"Нам нужно уходить, сейчас же."
So you said this was about Katie.,"Итак. Вы сказали, что это касается Кэти."
"About 200 yards south, on a rise.","Ярдов 200 к югу отсюда, на холме."
- Look at this.,Взгляни сюда.
What the hell is going on?,"Что, черт возьми, тут творится?"
I'm really glad you came.,"Я рад, что ты пришла."
Are-are you okay?,С тобой все нормально?
"-Look, there's Mickey and his parents.","-Посмотри, здесь Микки и его родители."
Let me make this very clear.,Давайте проясним.
- Oh.,- O.
Do you need some help?,Тебе нужна помощь?
Indeed successful is the one who made it pure.,"Поистине, восторжествует тот, Кто чистоту ее блюдет,"
They're gonna be back.,Они скоро уедут.
Fifth time's a charm.,пятый раз это очаровательно.
He died last year after a long illness.,Он умер в прошлом году. После долгой болезни.
How may I help you?,Чем могу вам помочь?
You know what they say?,"Знаешь, как говорят?"
They got to it.,Они добрались и сюда.
"Some horseradish, thinned with a little soured cream.","Немного хрена, сдобренного сметаной."
'Hello! ',Привет!
"Hey Nicole, open up.","Эй, Николь, открывай."
Does that make sense?,"Понимаешь, о чем я?"
It's beautiful.,Это красиво.
"Oh, for Pete's sake!",Вот зараза!
NAOMI:,Mмм.
We don't have a Nativity scene in my house.,У нас дома нет рождественской инсценировки.
"Hell, yeah, you mention the damn interview, girl.",- Конечно! Oбязательно скажи ему насчёт этого интервью.
"Timor, we need your help.","Тимор, нам нужна ваша помощь."
Chief.,Шеф
Can I get you a coffee?,Могу я предложить вам кофе?
Coffee/tea maker Fireplace (wood burning),Кофе / чай Камин (дровяной)
It's a law.,Это закон.
He's happy to see you.,Он рад тебя видеть.
What happened?,Что случилось?
Never.,Никогда.
Daddy?,Папочка?
Enjoy!,Ќеплохо.
"- Yes, I am.",- Да.
_,Не вздумай снова меня подвести.
Nothing.,Ничего.
What do you want?,Что вы хотите?
Captain! Captain! Captain!,Капитан!
That's what I said.,"Это глупо! Это то, что я сказала"
"- Yes, Master.","- Да, хозяин."
Next report,Следующий доклад
We've got a security breach.,- У нас взломали систему безопасности.
It's like a fairyland.,Прямо как в сказочной стране.
Hold on!,Держитесь!
Are you feeling alright?,Как ты себя чувствуешь?
- Are you gonna let him say that?,Ты собираешься позволить ему так говорить?
Babe.,Детка...
This is good.,Я сегодня молодец.
"Hello, everyone",Всем привет!
You're too polite.,Вы слишком вежливы.
Let's have a look.,Дай посмотреть.
What happened?,Что случилось?
These kids are killing me.,Эти дети меня убивают.
Stet.,Стетоскоп.
All clear.,Все чисто.
- Let's move! - Right.,Пошли!
It used to be... a factory.,Раньше это был завод.
Come on.,"Ну, давай же."
- I'm an astrobiologist.,-Я - астробиолог.
Here's my problem.,У меня проблема.
Previously on Gene Roddenberry's Earth Final Conflict:,ЗЕМЛЯ: ПОСЛЕДНИЙ КОНФЛИКТ В предыдущих сериях:
You -- you got to...,Ты... ты должен...
Jesus H. Christ.,"О, Боже!"
Click on “Next” to continue.,Нажмите кнопку «Далее» для продолжения.
Enter folder name:,Введите имя папки: @ action: inmenu
Marcy.,Марси.
What's the problem?,- В чем проблема?
A friend in my class.,Моя школьная подруга.
Tells your buddies what you're listening to,Сообщает вашим собеседникам что вы сейчас слушаетеComment
I love you.,И я тебя люблю.
"Joined: 06 Dec 2004, 23:20","Joined: 25 Apr 2005, 15:19"
Hmm.,Хмм.
Can you feel the buzz in the air?,Можете ли вы почувствовать кайф в воздухе?
Make him independent.,Сделать самостоятельным.
Whyte?,Whyte?
What happened to your head?,Что у тебя с головой?
I want to marry you.,Хочу выйти за тебя замуж!
Her and her mom must be really hurting right now.,"Ей и ее матери сейчас, наверное, очень плохо."
He was certainly acting like someone who was about to.,Но это было как самоубийство.
Is something wrong?,"Что-то случилось? Нет, нет..."
I'm a psychic.,Я - медиум. - А я - Бо Дерек (*).
Take a shower!,Пpими душ!
Let's talk.,Давай поговорим.
I'll be right there.,Я сейчас буду.
Alan Garner.,Алан Гарнер.
Somalia,Сомали
Dreadful.,Ужасно.
"cit., p. 673.","cit., pág."
"Eric, what is it?","Эрик, что происходит?"
Are you satisfied?,Вы довольны?
I'm becoming concerned for the welfare of your daughter.,Я начинаю беспокоится о благополучии вашей дочери.
You want to shoot me?,Хочешь застрелить меня?
"Thanks, bro.",- Ты же у нас любишь читать.
Part of the charge on French lines.,Принимал участие в атаке на французских фронтах.
"Yeah, but where the chicken is just refusing to ovulate.","Да, но только курица никак не овулирует."
How do you mean?,В каком смысле такой?
Are we gonna die?,Мы умрем?
When she grabs your hand your reaction would be...,"Когда Мидо берёт тебя за руку, твоя реакция..."
You don't understand.,Ты не понимаешь.
Did you see it?,Ты видел её?
I want her to have it.,"Я хочу, чтобы она осталась у неё."
With?,Насчёт?
Can I sleep here tonight?,Можно я сегодня посплю здесь?
Anything?,Что-нибудь?
"Yeah, especially when your mother died giving birth to you.","Ага, особенно когда твоя мать умирает, рожая тебя."
Now don't get me wrong.,Не поймите меня не правильно.
"People... who tried to help me got hurt, and...","Из-за меня пострадали люди, которые пытались помочь."
- Shoot it!,- Пристрели его!
"I thought you never wanted... oh, my God!",Ты же вроде больше не хотел... Боже мой!
Raise your hand.,Подними руку.
Proposals and contributions received from Governments,"Предложения и материалы, полученные от правительств"
Hi.,Привет.
I'll call you...,Я позвоню тебе...
911.,911.
I have a few little things for the baby.,У меня есть немного вещей для ребенка.
"In five, four, three, two.","Через пять, четыре, три, две."
22:42,3:34
Can I get an EMT in here?,Бригаду медиков сюда.
Where are we?,-Где мы?
"Hi, Mom.","Привет, мам."
I was saying:,Я сказала...
APPEL,APPEL
Oui. Merci.,Спасибо. (фр.)
"Rotterdam, 10 September 1998","Роттердам, 10 сентября 1998 года"
There's Brian Connors.,Это Брайан Коннорс.
That's fancy.,Как изысканно.
"No-holds-barred competition, sounds like fun.","Соревнования без запретов, звучит весело."
Summary and recommendations,В. Резюме и рекомендации
